date,Close,Volume
1/2/2009,54.36,7296400
1/5/2009,54.06,9509800
1/6/2009,57.36,11080100
1/7/2009,56.2,7942700
1/8/2009,57.16,6577900
1/9/2009,55.51,6684100
1/12/2009,51.92,9556300
1/13/2009,51.45,7883200
1/14/2009,48.49,10442600
1/15/2009,51.44,11617300
1/16/2009,51.59,8258200
1/20/2009,48.44,6767200
1/21/2009,50.54,5829500
1/22/2009,49.94,7133300
1/23/2009,50.63,5793300
1/26/2009,49.63,7155700
1/27/2009,48.44,8738200
1/28/2009,50.36,8056600
1/29/2009,50,17966800
1/30/2009,58.82,39783100
2/2/2009,61.15,19324300
2/3/2009,63.59,14694600
2/4/2009,61.06,13726300
2/5/2009,63.18,10169600
2/6/2009,66.55,12044900
2/9/2009,66.71,9437600
2/10/2009,63.31,10700600
2/11/2009,64.354,8347300
2/12/2009,63.96,8095500
2/13/2009,63.26,4130900
2/17/2009,61.67,7126100
2/18/2009,62.35,7366000
2/19/2009,61.95,6768900
2/20/2009,63.86,9354500
2/23/2009,61.71,7336000
2/24/2009,65.6,10271400
2/25/2009,63.71,9122100
2/26/2009,62.34,7275300
2/27/2009,64.79,11488300
3/2/2009,61.99,10511900
3/3/2009,61.7,9691600
3/4/2009,64.81,11960900
3/5/2009,64.77,11770300
3/6/2009,61.69,15093800
3/9/2009,60.49,13561400
3/10/2009,65.71,15435700
3/11/2009,68.54,13881700
3/12/2009,69.58,11348900
3/13/2009,68.63,8903400
3/16/2009,66.98,9437300
3/17/2009,71.35,11902800
3/18/2009,71.25,10401700
3/19/2009,70.1,8819100
3/20/2009,69.96,8468100
3/23/2009,75.58,8612400
3/24/2009,72.63,7457900
3/25/2009,72.4,7895600
3/26/2009,73.69,6657700
3/27/2009,70.52,8568800
3/30/2009,71.44,8373100
3/31/2009,73.44,8918200
4/1/2009,73.5,7041400
4/2/2009,76.34,11066900
4/3/2009,78.17,5809900
4/6/2009,77.99,5751300
4/7/2009,75.51,5748800
4/8/2009,76.98,5653000
4/9/2009,79.77,7082300
4/13/2009,78.94,6212200
4/14/2009,77.22,6160400
4/15/2009,74.71,9412800
4/16/2009,77.25,7467800
4/17/2009,78.05,7426000
4/20/2009,77.57,8686900
4/21/2009,78.74,7162200
4/22/2009,79.2,8775500
4/23/2009,80.61,16187700
4/24/2009,84.46,23484300
4/27/2009,83.12,9705900
4/28/2009,82.4,7924000
4/29/2009,79.79,9735100
4/30/2009,80.52,8537600
5/1/2009,78.96,6121700
5/4/2009,79.77,7019300
5/5/2009,81.9,5870300
5/6/2009,81.99,8604000
5/7/2009,79.28,9632100
5/8/2009,77.95,8193000
5/11/2009,78.61,6872300
5/12/2009,77.93,5548700
5/13/2009,74.19,8770500
5/14/2009,75.11,9343600
5/15/2009,73.6,8011700
5/18/2009,75.95,6829100
5/19/2009,77.87,8028900
5/20/2009,77.97,7351000
5/21/2009,75.96,5640500
5/22/2009,75.64,3484700
5/26/2009,78.39,6699600
5/27/2009,77.1,5567100
5/28/2009,77.65,4943100
5/29/2009,77.99,5072200
6/1/2009,83.05,10796500
6/2/2009,84.93,9397000
6/3/2009,85.68,7603400
6/4/2009,85.52,5465400
6/5/2009,87.56,8263500
6/8/2009,86.36,5602100
6/9/2009,87.08,4475100
6/10/2009,86.59,6073600
6/11/2009,85.69,5009700
6/12/2009,84.08,6223000
6/15/2009,83.18,5401800
6/16/2009,82.15,5465800
6/17/2009,82.65,7785100
6/18/2009,81.595,5453100
6/19/2009,82.96,5438200
6/22/2009,79.15,9744400
6/23/2009,77.68,7415500
6/24/2009,79.27,6081400
6/25/2009,82.2,7360400
6/26/2009,83.88,8775300
6/29/2009,83.03,6270300
6/30/2009,83.66,7984800
7/1/2009,81.6,6981200
7/2/2009,79.32,7218600
7/6/2009,78.1,7368800
7/7/2009,75.63,6491500
7/8/2009,77.36,8540700
7/9/2009,78.1,6359500
7/10/2009,77.63,5976100
7/13/2009,81.47,8050200
7/14/2009,81.95,4543600
7/15/2009,84.55,6339000
7/16/2009,86.11,5361900
7/17/2009,85.85,5051600
7/20/2009,88.23,6056600
7/21/2009,89.01,7728600
7/22/2009,88.79,5329600
7/23/2009,93.87,19162100
7/24/2009,86.49,19204600
7/27/2009,84.24,11279300
7/28/2009,84.98,8774900
7/29/2009,84.34,6502900
7/30/2009,86.09,7253200
7/31/2009,85.76,5886900
8/3/2009,87.44,6663000
8/4/2009,85.8,6177900
8/5/2009,84.29,7279400
8/6/2009,84.47,4693000
8/7/2009,85.32,5628000
8/10/2009,84.44,4440600
8/11/2009,83.56,5025000
8/12/2009,85.96,5619400
8/13/2009,84.6,5712400
8/14/2009,83.58,4924700
8/17/2009,81.06,6888600
8/18/2009,82.12,5884400
8/19/2009,83,5170600
8/20/2009,84.09,5375000
8/21/2009,85,6130700
8/24/2009,84.5,4723200
8/25/2009,84.19,4791000
8/26/2009,84,3613800
8/27/2009,84.31,3997700
8/28/2009,82.76,4620700
8/31/2009,81.19,5263800
9/1/2009,79.16,6245800
9/2/2009,78.14,6512700
9/3/2009,78.46,4140200
9/4/2009,78.87,4671500
9/8/2009,80.9,7037600
9/9/2009,82.24,6776200
9/10/2009,83.85,7023100
9/11/2009,84.54,6006900
9/14/2009,83.86,3572000
9/15/2009,83.55,4446800
9/16/2009,90.7,13114300
9/17/2009,90.44,7872700
9/18/2009,90.28,6769500
9/21/2009,90.56,4209300
9/22/2009,93.75,8264900
9/23/2009,92.38,5685300
9/24/2009,92.11,5075100
9/25/2009,90.52,4256800
9/28/2009,92.21,3508000
9/29/2009,91.72,4393900
9/30/2009,93.36,8539200
10/1/2009,91.04,6645100
10/2/2009,89.85,5039400
10/5/2009,88.67,7028500
10/6/2009,90.91,6963700
10/7/2009,93.97,7445100
10/8/2009,95.22,9674300
10/9/2009,95.71,4694000
10/12/2009,93.6,5591400
10/13/2009,94.83,4720000
10/14/2009,97.46,5556800
10/15/2009,96.01,6242100
10/16/2009,95.32,7038400
10/19/2009,94.68,6017400
10/20/2009,94.98,7777600
10/21/2009,93.42,7761200
10/22/2009,93.45,16518500
10/23/2009,118.49,58305800
10/26/2009,124.6399,32271200
10/27/2009,122.07,20304200
10/28/2009,121.64,16887700
10/29/2009,122.577,12821800
10/30/2009,118.81,13312200
11/2/2009,118.84,11280000
11/3/2009,118.37,9478500
11/4/2009,117.1,7617500
11/5/2009,120.61,9086800
11/6/2009,126.2,13226000
11/9/2009,126.67,8624200
11/10/2009,130.15,10529300
11/11/2009,129.91,7434200
11/12/2009,130.53,7210100
11/13/2009,132.97,7376800
11/16/2009,131.59,9018300
11/17/2009,131.25,7748000
11/18/2009,131.29,5213500
11/19/2009,128.99,5998200
11/20/2009,129.66,6652600
11/23/2009,133,6878100
11/24/2009,132.94,7319700
11/25/2009,134.03,5071200
11/27/2009,131.74,4422600
11/30/2009,135.91,10119500
12/1/2009,138.5,9657600
12/2/2009,142.25,11798000
12/3/2009,141.17,16523500
12/4/2009,137.58,14827400
12/7/2009,134.21,7837000
12/8/2009,134.11,8002800
12/9/2009,131.31,12632900
12/10/2009,135.38,11343600
12/11/2009,134.15,8046700
12/14/2009,131.38,10022900
12/15/2009,130.23,7428800
12/16/2009,128.36,10261300
12/17/2009,126.91,8476500
12/18/2009,128.48,9605400
12/21/2009,132.79,9473600
12/22/2009,133.75,8257500
12/23/2009,138.94,9546100
12/24/2009,138.47,5128800
12/28/2009,139.31,8763900
12/29/2009,139.41,8400600
12/30/2009,136.49,6913200
12/31/2009,134.52,4523000
1/4/2010,133.9,7599900
1/5/2010,134.69,8851900
1/6/2010,132.25,7178800
1/7/2010,130,11030200
1/8/2010,133.52,9830500
1/11/2010,130.308,8779400
1/12/2010,127.35,9096300
1/13/2010,129.11,10723200
1/14/2010,127.35,9774900
1/15/2010,127.14,15376500
1/19/2010,127.61,8892600
1/20/2010,125.78,9074700
1/21/2010,126.62,9970600
1/22/2010,121.43,11568900
1/25/2010,120.31,12023900
1/26/2010,119.48,9559000
1/27/2010,122.75,14765300
1/28/2010,126.03,27293100
1/29/2010,125.41,29471300
2/1/2010,118.87,37774400
2/2/2010,118.12,23079700
2/3/2010,119.1,12405900
2/4/2010,115.94,12784000
2/5/2010,117.39,11024800
2/8/2010,116.83,9890200
2/9/2010,118.03,9223000
2/10/2010,117.36,6233200
2/11/2010,120.09,8343500
2/12/2010,119.66,8073500
2/16/2010,117.53,8932700
2/17/2010,116.31,8944800
2/18/2010,118.08,9800100
2/19/2010,117.52,7115600
2/22/2010,118.01,6807300
2/23/2010,117.24,7068200
2/24/2010,119.72,7389900
2/25/2010,118.2,9533400
2/26/2010,118.4,5721600
3/1/2010,124.54,13296500
3/2/2010,125.53,12097500
3/3/2010,125.89,6440400
3/4/2010,128.53,7509700
3/5/2010,128.91,6769300
3/8/2010,130.11,5605900
