date,Close,Volume
1/2/2009,20.33,50083979
1/5/2009,20.52,61475179
1/6/2009,20.76,58083379
1/7/2009,19.51,72709879
1/8/2009,20.12,70255379
1/9/2009,19.52,49815279
1/12/2009,19.47,52163479
1/13/2009,19.82,65843479
1/14/2009,19.09,80257479
1/15/2009,19.24,96169779
1/16/2009,19.71,79634079
1/20/2009,18.48,89872979
1/21/2009,19.38,68340879
1/22/2009,17.11,222436579
1/23/2009,17.2,117020579
1/26/2009,17.63,92476479
1/27/2009,17.66,61694979
1/28/2009,18.04,64145479
1/29/2009,17.59,49192779
1/30/2009,17.1,62370879
2/2/2009,17.83,88871679
2/3/2009,18.5,86865079
2/4/2009,18.63,75617979
2/5/2009,19.04,75195179
2/6/2009,19.66,86745979
2/9/2009,19.44,52196379
2/10/2009,18.8,83953179
2/11/2009,19.21,58598979
2/12/2009,19.26,75323179
2/13/2009,19.09,47415979
2/17/2009,18.09,75853279
2/18/2009,18.12,54946879
2/19/2009,17.91,49195579
2/20/2009,18,69413779
2/23/2009,17.21,70803379
2/24/2009,17.17,122674479
2/25/2009,16.96,105894579
2/26/2009,16.42,83219479
2/27/2009,16.15,93427979
3/2/2009,15.79,80602079
3/3/2009,15.88,80476579
3/4/2009,16.12,69285079
3/5/2009,15.27,89708479
3/6/2009,15.28,92821379
3/9/2009,15.15,66479079
3/10/2009,16.48,95184179
3/11/2009,17.11,84522179
3/12/2009,17.01,93694079
3/13/2009,16.65,82965779
3/16/2009,16.25,67028879
3/17/2009,16.9,62480979
3/18/2009,16.96,70710679
3/19/2009,17.14,58994579
3/20/2009,17.06,81725479
3/23/2009,18.33,71599979
3/24/2009,17.87,50044079
3/25/2009,17.88,73927079
3/26/2009,18.83,63775079
3/27/2009,18.13,47670379
3/30/2009,17.48,49632979
3/31/2009,18.37,92423279
4/1/2009,19.31,96438879
4/2/2009,19.29,99082279
4/3/2009,18.75,81858379
4/6/2009,18.76,47476079
4/7/2009,18.76,65815179
4/8/2009,19.19,56408879
4/9/2009,19.67,55759579
4/13/2009,19.59,44444679
4/14/2009,19.35,63796279
4/15/2009,18.83,72725479
4/16/2009,19.76,67688679
4/17/2009,19.2,61398479
4/20/2009,18.61,62937179
4/21/2009,18.97,60928279
4/22/2009,18.78,59400979
4/23/2009,18.92,86116279
4/24/2009,20.91,168478479
4/27/2009,20.4,68219579
4/28/2009,19.93,76685179
4/29/2009,20.25,79301579
4/30/2009,20.26,87439879
5/1/2009,20.24,63224479
5/4/2009,20.19,54313379
5/5/2009,19.79,66835479
5/6/2009,19.79,59639079
5/7/2009,19.32,68727179
5/8/2009,19.42,67597579
5/11/2009,19.32,63762579
5/12/2009,19.89,71966779
5/13/2009,19.75,49281679
5/14/2009,20.06,54539479
5/15/2009,20.22,61289879
5/18/2009,20.6,46073779
5/19/2009,20.31,51368279
