date,Close,Volume
1/2/2009,53.44,3299800
1/5/2009,53.82,4150000
1/6/2009,57.61,8126600
1/7/2009,56.36,7110400
1/8/2009,55.76,8670900
1/9/2009,55.62,4175600
1/12/2009,52.96,7880100
1/13/2009,53.14,5783300
1/14/2009,50.97,6311700
1/15/2009,49.38,11861600
1/16/2009,47.41,17301200
1/20/2009,42.42,14941500
1/21/2009,44.18,12625800
1/22/2009,44.18,7981900
1/23/2009,44.32,5654300
1/26/2009,42.59,6002300
1/27/2009,44.15,6609000
1/28/2009,47.22,8022400
1/29/2009,46.27,6524400
1/30/2009,49.35,7578800
2/2/2009,49.97,7136000
2/3/2009,48.39,7238400
2/4/2009,49.13,8291600
2/5/2009,53.74,24182100
2/6/2009,55.41,11476900
2/9/2009,55.32,7968600
2/10/2009,53.85,9517900
2/11/2009,54.96,5917000
2/12/2009,56.4,8706900
2/13/2009,55.95,10197000
2/17/2009,54.25,8895400
2/18/2009,56.15,9082300
2/19/2009,55.63,8775600
2/20/2009,55.66,10727000
2/23/2009,54.25,7991800
2/24/2009,56.35,10897700
2/25/2009,55.42,8598700
2/26/2009,56.06,8975600
2/27/2009,56.71,11809300
3/2/2009,54.16,9765000
3/3/2009,54.36,10548900
3/4/2009,55.29,8943800
3/5/2009,53.42,11036200
3/6/2009,50.19,15175400
3/9/2009,49.8,8388600
3/10/2009,52.87,9661100
3/11/2009,51.37,9031100
3/12/2009,54.09,10819000
3/13/2009,52.05,12391100
3/16/2009,52.17,8368600
3/17/2009,55.29,6432600
3/18/2009,56.31,11324100
3/19/2009,52.69,10435900
3/20/2009,52.53,8369000
3/23/2009,55.54,11164200
3/24/2009,53.5,10888900
3/25/2009,52.75,14656200
3/26/2009,55.5,14866600
3/27/2009,54.25,8171800
3/30/2009,53.5,9649100
3/31/2009,55.6,11861600
4/1/2009,54.29,11036100
4/2/2009,55.59,11849200
4/3/2009,60.08,14423700
4/6/2009,59.13,11231900
4/7/2009,57.15,6780600
4/8/2009,57.82,5953900
4/9/2009,58.79,11446400
4/13/2009,61.11,9531100
4/14/2009,58.33,8928000
4/15/2009,59.11,7421900
4/16/2009,58.07,9028500
4/17/2009,58,9453600
4/20/2009,55,10644300
4/21/2009,58.63,9436500
4/22/2009,57.51,8670000
4/23/2009,58.23,8972700
4/24/2009,60.38,9921500
4/27/2009,58.87,7374200
4/28/2009,60.71,10571900
4/29/2009,63.51,14810100
4/30/2009,64.96,25438400
5/1/2009,65.01,15154200
5/4/2009,68.2,19733800
5/5/2009,67.39,14196500
5/6/2009,66.19,10457600
5/7/2009,65.53,8682800
5/8/2009,68.43,9458700
5/11/2009,65.93,6495000
5/12/2009,65.22,9093400
5/13/2009,64.47,11888900
5/14/2009,64.52,8215400
5/15/2009,65.07,6170500
5/18/2009,66.41,14826100
5/19/2009,64.8,11446100
5/20/2009,64.96,8464500
5/21/2009,66.28,13930900
5/22/2009,65.75,5433800
5/26/2009,66.77,5139200
5/27/2009,65.92,6789200
5/28/2009,66.5,5046000
5/29/2009,67.71,8049600
6/1/2009,66.66,10907000
6/2/2009,66.81,7760900
6/3/2009,68.23,8840700
6/4/2009,69.52,14055300
6/5/2009,69.28,18565200
6/8/2009,69.8,5159000
6/9/2009,68.63,5443300
6/10/2009,69.27,8449300
6/11/2009,66.72,10987200
6/12/2009,64.36,20240800
6/15/2009,64.43,6391100
6/16/2009,62.46,7447100
6/17/2009,61.35,8015900
6/18/2009,61.41,8042100
6/19/2009,61.37,6367300
6/22/2009,61.24,7542000
6/23/2009,62.67,4997400
6/24/2009,61.09,5699700
6/25/2009,61.95,5220700
6/26/2009,63.82,4937900
6/29/2009,62.98,5670200
6/30/2009,62.26,12313400
7/1/2009,60.8,6541900
7/2/2009,60.42,5378700
7/6/2009,60.67,5845600
7/7/2009,59.71,7590400
7/8/2009,59.49,16020100
7/9/2009,60.44,6654100
7/10/2009,59.86,4163700
7/13/2009,60.35,7660000
7/14/2009,60.29,3322800
7/15/2009,62.65,9123100
7/16/2009,64.41,12521500
7/17/2009,64.1,4518900
7/20/2009,67.12,8055100
7/21/2009,67.15,4435700
7/22/2009,66.85,6332100
7/23/2009,67.19,4849000
7/24/2009,67.29,3298700
7/27/2009,68.19,3561300
7/28/2009,66.3,5661200
7/29/2009,66.78,5508100
7/30/2009,67.21,14444000
7/31/2009,65.46,8261700
8/3/2009,69.11,7583600
8/4/2009,69.1,4671600
8/5/2009,68.38,4968600
8/6/2009,68.65,5223200
8/7/2009,69.17,3845100
8/10/2009,68.88,2509700
